歌曲編號,歌曲名稱,歌星 A,歌星 B,路徑 1,路徑 2,歌曲檔名,新增日期,分類,歌曲注音,歌曲拼音,語別,點播次數,版權01,版權02,版權03,版權04,版權05,版權06,狀態,歌名字數,人聲,狀態2,情境,歌星A注音,歌星B注音,歌星A分類,歌星B分類,歌星A簡體,歌星B簡體,歌名簡體
999999,我是益陽人,龍奔,,\\SVR01\DISK01\,\\SVR02\DISK01\,999999.mpg,2021/12/25,,ㄨㄕㄧㄧㄖ,WSYYR,國語,0,揚聲,,,,,,1,5,1,1,浪漫,ㄌㄅ,,男,,龙奔,,我是益阳人
999998,我得了一種叫做忘不掉你的病,韓小欠,,\\SVR01\DISK01\,\\SVR02\DISK01\,999998.mpg,2021/12/25,,ㄨㄉㄌㄧㄓㄐㄗㄨㄅㄉㄋㄉㄅ,WDLYZJZWBDNDB,國語,0,揚聲,,,,,,1,13,1,1,浪漫,ㄏㄒㄑ,,男,,韩小欠,,我得了一种叫做忘不掉你的病
999997,NEED YOU,周湯豪,,\\SVR01\DISK01\,\\SVR02\DISK01\,999997.mpg,2021/12/25,,,,國語,7,揚聲,,,,,,1,8,1,1,浪漫,ㄓㄊㄏ,,男,,周汤豪,,NEED YOU
999996,一路向前,KU古曜威,,\\SVR01\DISK01\,\\SVR02\DISK01\,999996.mpg,2021/12/25,,ㄧㄌㄒㄑ,YLXQ,國語,0,揚聲,,,,,,1,4,1,1,浪漫,ㄍㄧㄨ,,男,,KU古曜威,,一路向前
999995,恰查某,陳布朗,玖壹壹,\\SVR01\DISK01\,\\SVR02\DISK01\,999995.mpg,2021/12/25,,ㄑㄔㄇ,QCM,台語,0,揚聲,,,,,,1,3,1,1,柔和,ㄔㄅㄌ,ㄐㄧㄧ,男,團,陈布朗,玖壹壹,恰查某
999994,雨不停 流,孫盛希,,\\SVR01\DISK01\,\\SVR02\DISK01\,999994.mpg,2021/12/25,,ㄩㄅㄊ ㄌ,YBTL,國語,3,揚聲,,,,,,1,5,1,1,浪漫,ㄙㄕㄒ,,男,,孙盛希,,雨不停 流
999993,最後一秒鐘,九澤CP,,\\SVR01\DISK01\,\\SVR02\DISK01\,999993.mpg,2021/12/25,,ㄗㄏㄧㄇㄓ,ZHYMZ,國語,10,揚聲,,,,,,1,5,1,1,浪漫,ㄐㄗ,,團,,九泽CP,,最后一秒钟
999992,未發送,阿冗,,\\SVR01\DISK01\,\\SVR02\DISK01\,999992.mpg,2021/12/25,,ㄨㄈㄙ,WFS,國語,49,揚聲,,,,,,1,3,1,1,浪漫,ㄚㄖ,,男,,阿冗,,未发送
999991,純粹,劉學甫,,\\SVR01\DISK01\,\\SVR02\DISK01\,999991.mpg,2021/12/25,,ㄔㄘ,CC,國語,0,揚聲,,,,,,1,2,1,1,浪漫,ㄌㄒㄈ,,男,,刘学甫,,纯粹
999990,未定義,李芷婷,,\\SVR01\DISK01\,\\SVR02\DISK01\,999990.mpg,2021/12/25,,ㄨㄉㄧ,WDY,國語,0,揚聲,,,,,,1,3,1,1,浪漫,ㄌㄓㄊ,,女,,李芷婷,,未定义
